group,name,description,specification,version,internal_set,internal,product_plan_rule,error_level,error
HIDiAP2, GameControllerProhibitedUsagesSeeniAP2, Fire an error if the accessory sends StartHID with any usages which aren't allowed for the current type of Gamepad. Each section of the spec explicitly lists the control surfaces which map to HID usages, CurrentAISpecFileReference, 3.4, NO, NO, NO, Error, accessory sent %1$@ with prohibited Gamepad usages %2$@
HIDiAP2, GameControllerRequiredHIDUsagesNotDefinediAP2, Fire an error if the accessory uses Game Contoller but doesn't provide all required usages in the HID report descriptor, CurrentAISpecFileReference, 3.4, NO, NO, NO, Error, accessory sent %1$@ for a %2$@ Gamepad without the following required usage%3$@ in the HID report descriptor: %4$@
HIDiAP2, GameControllerRequiredNativeHIDUsagesNotDefinediAP2, Fire an error if the accessory uses Game Contoller but doesn't provide all required usages in the HID report descriptor, CurrentAISpecFileReference, 5.0, NO, NO, NO, Error, accessory sent HID report for a %1$@ Gamepad without the following required usage%2$@ in the HID report descriptor: %3$@
HIDiAP2, GameControllerSwitchesHIDNotSeenCAiAP2, Fire an error if the accessory did not send at least the maximum and the minimum values defined in the descriptor for each game controller switch in HID reports during the CA., CurrentAISpecFileReference, 5.0, NO, NO, NO, Error, accessory did not send maximum and/or minimum values for %@ during the Certification Assistant
HIDiAP2, GameControllerWithNonControllerComponentiAP2, Fire an error if the accessory that uses HID Game Controller reports another HID function, CurrentAISpecFileReference, 5.0, NO, NO, NO, Error, accessory sent IdentificationInformation that contains another HID function component besides the HID Game Controller
HIDiAP2, HIDFunctionClaimWithoutUSBHostHIDComponentCAiAP2, Fire an error if the accessory fails to identify for USBHostHIDComponents with HID functions that were claimed for., CurrentAISpecFileReference, 3.2, NO, NO, NO, Error, accessory claimed support for HID function%@ %@_ but did not send IdentificationInformation with the corresponding USBHostHIDComponent%@
HIDiAP2, HIDFunctionClaimWithoutiAP2HIDComponentCAiAP2, Fire an error if the accessory fails to identify for iAP2HIDComponents with HID functions that were claimed for., CurrentAISpecFileReference, 3.2, NO, NO, NO, Error, accessory claimed support for HID function%@ %@_ but did not send IdentificationInformation with the corresponding iAP2HIDComponent%@
HIDiAP2, HIDNativeUSBHIDReportPaddingBitSetToOneiAP2, Fire an error if any padding bits in any HID report sent over native USB transport are set to 1., CurrentAISpecFileReference, 3.2, NO, NO, NO, Error, accessory sent a HID report in which some padding bits are set to 1
HIDiAP2, HIDOveriAP2MessagesNotSeenCAiAP2, Fire an error if they identify for an iAP2 HID component but do not send required messages, N/A, 3.1, NO, NO, NO, Error, did not see %1$@ while testing the %2$@ feature when identified for iAP2 HID
HIDiAP2, IAP2HIDComponentWithoutHIDFunctionClaimCAiAP2, Fire an error if the accessory identifies for iAP2HIDComponents with HID functions that weren't claimed for., CurrentAISpecFileReference, 3.2, NO, NO, NO, Error, accessory sent IdentificationInformation with iAP2HIDComponent%@ for HID function%@ %@_ but did not claim support
HIDiAP2, KeyboardRequiredHIDUsagePageMissingNativeUSBiAP2, Fire an error if the accessory fails to declare support for the HID Keyboard/Keypad usage page in a native USB HID report descriptor for a Keyboard., CurrentAISpecFileReference, 3.2, NO, NO, NO, Error, accessory sent a Keyboard HID report descriptor without the HID Keyboard/Keypad usage page
HIDiAP2, KeyboardRequiredHIDUsagePageMissingiAP2, Fire an error if the accessory specifies the Keyboard HID component function in a StartHID's HIDComponentIdentifier but failes to declare  support for the Keyboard HID usage page in the StartHID's HIDReportDescriptor., CurrentAISpecFileReference, 3.2, NO, NO, NO, Error, accessory sent StartHID for a Keyboard without including the HID Keyboard/Keypad usage page in the report descriptor
HIDiAP2, KeyboardWithConsumerPageInvalidHIDUsagesiAP2, Fire an error if the accessory supplies Consumer Page HID usages in a StartHID's HIDReportDescriptor for keyboard that are not from the list of permitted usages., CurrentAISpecFileReference, 3.2, NO, NO, NO, Error, accessory sent StartHID with prohibited Consumer Page HID usage%@ %@ in its HIDReportDescriptor for a Keyboard
HIDiAP2, MediaPlaybackRemoteInvalidHIDUsagesNativeUSBiAP2, Fire an error if the accessory supplies Consumer Page HID usages in a native USB HID report descriptor for Media Playback Remote that are not from the list of permitted usages., CurrentAISpecFileReference, 3.2, NO, NO, NO, Error, accessory sent Media Playback Remote HID report descriptor for interface number %hhu with prohibited Consumer Page HID usage%@ %@
HIDiAP2, MediaPlaybackRemoteInvalidHIDUsagesiAP2, Fire an error if the accessory supplies Consumer Page HID usages in a StartHID's HIDReportDescriptor for Media Playback Remote that are not from the list of permitted usages., CurrentAISpecFileReference, 3.2, NO, NO, NO, Error, accessory sent StartHID with prohibited Consumer Page HID usage%@ %@ in its HIDReportDescriptor for a Media Playback Remote
HIDiAP2, MediaPlaybackRemoteRequiredHIDUsagePageMissingNativeUSBiAP2, Fire an error if the accessory fails to declare support for the HID Consumer usage page in a native USB HID report descriptor for a Media Playback Remote., CurrentAISpecFileReference, 3.2, NO, NO, NO, Error, accessory sent a Media Playback Remote HID report descriptor without the HID Consumer usage page
HIDiAP2, MediaPlaybackRemoteRequiredHIDUsagePageMissingiAP2, Fire an error if the accessory fails to declare support for the HID Consumer usage page in a StartHID's HIDReportDescriptor for a Media Playback Remote., CurrentAISpecFileReference, 3.2, NO, NO, NO, Error, accessory sent StartHID for a Media Playback Remote without including the HID Consumer usage page in the report descriptor
HIDiAP2, NoHIDComponentDuringIdentificationCAiAP2, Fire an error if no HID components are identified during identification, N/A, 3.1, NO, NO, NO, Error, accessory did not declare any HID components while testing the %1$@/%2$@ feature
HIDiAP2, StartHIDHIDComponentIdentifierInvalidiAP2, Fire an error if the HIDComponentIdentifier in StartHID doesn't match one sent in an iAP2HIDComponent, CurrentAISpecFileReference, 3.0, NO, NO, NO, Error, accessory sent StartHID with HIDComponentIdentifier (%hu) that does not match a previously identified iAP2HIDComponent
HIDiAP2, StopHIDHIDComponentIdentifierInvalidiAP2, Fire an error if the HIDComponentIdentifier in StopHID doesn't match one sent in an iAP2HIDComponent, CurrentAISpecFileReference, 3.0, NO, NO, NO, Error, accessory sent StopHID with HIDComponentIdentifier (%hu) that does not match a previously identified iAP2HIDComponent
HIDiAP2, SwitchControlHIDButtonCountInvalidiAP2, Fire an error if the accessory provides a HID report descriptor that defines less than one (1) or more than sixteen buttons (16)., CurrentAISpecFileReference, 5.0, NO, NO, NO, Error, accessory sent StartHID for an Assistive Switch Control with a button usage count of %1$lu which is outside the permitted range of 1 to 16
HIDiAP2, SwitchControlHIDButtonCountNotRecommendediAP2, Fire a warning if the accessory provides a HID report descriptor that defines only one button., CurrentAISpecFileReference, 5.0, NO, NO, NO, Warning, accessory sent StartHID for an Assistive Switch Control with only one button usage which is not recommended
HIDiAP2, SwitchControlHIDComponentCountInvalidiAP2, Fire an error if the accessory's IdentificationInformation USBHostHIDComponents and iAP2HIDComponents contain more than one component that has the Assistive Switch Control HIDComponentFunction., CurrentAISpecFileReference, 5.0, NO, NO, NO, Error, accessory sent IdentificationInformation with more than one iAP2HIDComponent or USBHostHIDComponent for HID function Assistive Switch Control
HIDiAP2, SwitchControlNativeHIDButtonCountInvalidiAP2, Fire an error if the accessory provides a HID report descriptor that defines less than one (1) or more than sixteen buttons (16)., CurrentAISpecFileReference, 5.0, NO, NO, NO, Error, accessory sent HID report for an Assistive Switch Control with a button usage count of %1$lu which is outside the permitted range of 1 to 16
HIDiAP2, SwitchControlNativeHIDButtonCountNotRecommendediAP2, Fire a warning if the accessory provides a HID report descriptor that defines only one button., CurrentAISpecFileReference, 5.0, NO, NO, NO, Warning, accessory sent HID report for an Assistive Switch Control with only one button usage which is not recommended
HIDiAP2, USBHostHIDComponentDuplicateInterfaceNumberiAP2, Fire an error if the accessory sends USBHostHIDComponents with duplicate interface numbers, CurrentAISpecFileReference, 3.0, NO, NO, NO, Error, accessory sent USBHostHIDComponent with duplicate interface number of %hhu
HIDiAP2, USBHostHIDComponentUndefinedInterfaceiAP2, Fire an error if the accessory sends USBHostHIDComponents with an interface number that does not represent a HID USB interface that was enumerated, CurrentAISpecFileReference, 3.0, NO, NO, NO, Error, accessory sent USBHostHIDComponent with interface number of %hhu_ but no matching HID interface was seen during USB enumeration
HIDiAP2, USBHostHIDComponentWithoutHIDFunctionClaimCAiAP2, Fire an error if the accessory identifies for USBHostHIDComponents with HID functions that weren't claimed for., CurrentAISpecFileReference, 3.2, NO, NO, NO, Error, accessory sent IdentificationInformation with USBHostHIDComponent%@ for HID function%@ %@_ but did not claim support
HIDiAP2, UsageNotSeenForSupportedHIDUsagesCAiAP2, Fire an error if the accessory claims support for the HID iAP2 Session feature and fails to send values for all fields defined in the HID report descriptors for the HID components identified by the accessory., CurrentAISpecFileReference, 3.2, NO, NO, NO, Error, accessory did not send AccessoryHIDReport messages containing values for the following: %@
HIDiAP2, UsageNotSeenForSupportedHIDUsagesNativeUSBCAiAP2, Fire an error if the accessory claims support for the HID Native Transport feature and fails to send values for all fields defined in the HID report descriptors for the HID components enumerated by the accessory., CurrentAISpecFileReference, 3.2, NO, NO, NO, Error, accessory did not send HID reports containing values for the following: %@
ExternalAccessoryProtocoliAP2, EAProtocolParameterSeenDuringIdentificationWithoutEAMessagesDeclarediAP2, Fire an error if the accessory sends an ExternalAccessoryProtocol parameter group for an EA session (not EA native transport)_ but did not declare support for StartExternalAccessoryProtocolSession and StopExternalAccessoryProtocolSession in its MessagesReceivedFromDevice list, CurrentAISpecFileReference, 3.0, NO, NO, NO, Error, accessory is trying to use External Accessory sessions but did not declare support for StartExternalAccessoryProtocolSession and StopExternalAccessoryProtocolSession in MessagesReceivedFromDevice
ExternalAccessoryProtocoliAP2, EAProtocolParameterSeenDuringIdentificationWithoutEASessionDuringLinkSynchronizationiAP2, Fire an error if the accessory sends an ExternalAccessoryProtocol parameter group for an EA session (not EA native transport)_ but did not set up an EA session during link synchronization, CurrentAISpecFileReference, 3.0, NO, NO, NO, Error, accessory is trying to use External Accessory sessions but did not set up a session during link synchronization
ExternalAccessoryProtocoliAP2, EASessionDuringLinkSynchronizationWithoutiAP2EASessionProtocolParameterDuringIdentificationiAP2, Fire an error if the accessory set up an EA session during link synchronization_ but did not send an ExternalAccessoryProtocol parameter group for an EA session (not EA native transport), CurrentAISpecFileReference, 3.1, NO, NO, NO, Error, accessory set up an iAP2 External Accessory session during link synchronization but did not declare any iAP2 External Accessory session protocols during identification
ExternalAccessoryProtocoliAP2, ExternalAccessoryProtocolIdentifierParametersNotUniqueiAP2, Fire an error if any ExternalAccessoryProtocolIdentifier parameters are duplicated, CurrentAISpecFileReference, 3.0, NO, NO, NO, Error, accessory sent a duplicate ExternalAccessoryProtocolIdentifier %hhu
ExternalAccessoryProtocoliAP2, ExternalAccessoryProtocolNameParametersNotUniqueiAP2, Fire an error if any ExternalAccessoryProtocolName parameters are duplicated, CurrentAISpecFileReference, 3.0, NO, NO, NO, Error, accessory sent a duplicate ExternalAccessoryProtocolName %@
ExternalAccessoryProtocoliAP2, ExternalAccessoryProtocolNativeTransportComponentIdentifierInvalidiAP2, Fire an error if NativeTransportComponentIdentifier does not match previous declared identifier of a USBHostTransportComponent, CurrentAISpecFileReference, 3.0, NO, NO, NO, Error, the NativeTransportComponentIdentifier %hu for ExternalAccessoryProtocolIdentifier %hhu does not match a previously declared TransportComponentIdentifier from a USBHostTransportComponent
ExternalAccessoryProtocoliAP2, ExternalAccessorySessionMessagesNotSeenCAiAP2, Fire an error if required messages are not seen during the ExternalAccessory test, N/A, 3.1, NO, NO, NO, Error, did not see %1$@ while testing the %2$@ feature
ExternalAccessoryProtocoliAP2, NoExternalAccessoryProtocolParameterWhileIdentifyingCAiAP2, Throw an error if the accessory fails to identify an EA protocol parameter while identifying in the CA, N/A, 3.1, NO, NO, NO, Error, accessory did not declare any supported external accessory protocols while testing the %1$@/%2$@ feature
ExternalAccessoryProtocoliAP2, StartEAMessageSeenWithoutEADatagramCAiAP2, Fire an error if the accessory receives an StartExternalAccessoryProtocolSession_ but did not send an EA datagram, CurrentAISpecFileReference, 5.0, NO, NO, NO, Error, accessory received StartExternalAccessoryProtocolSession message but did not send an EA datagram
ExternalAccessoryProtocoliAP2, USBInterfaceDescriptorsIncorrectForEANativeTransportiAP2, Validate a number of requirements for the USB interface desciptors associated with EA native transport when seeing an ExternalAccessoryProtocol paramter during identification, CurrentAISpecFileReference, 3.0, NO, NO, NO, Error, EA native transport USB interface descriptors for protocol %@ failed validation: %@
IPodOut, EnterExitExtendedInterfaceModeInsteadOfSetUIMode, This rule throws an error if the accessory uses EnterExtendedInterfaceMode or ExitExtendedInterfaceMode while identified for iPodOut, CurrentMFiFirmwareSpecFileReference (C.4.2), 2.2, NO, NO, NO, Error, accessory sent %1$@ instead of SetUIMode while identified for iPod Out
IPodOut, IPodOutButtonStatusSpacingGreaterThan100ms, This rule throws an error if the time between two successive iPodOutButtonStatus commands (without an intervening all-buttons-up packet) is greater than 100 ms. Note: This rule has a 2 ms tolerance built in due to rdar://problem/6827868, CurrentMFiFirmwareSpecFileReference (4.2.11), 1.5, NO, NO, NO, Error, more than 100 ms have elapsed since the last iPodOutButtonStatus command without sending another
IPodOut, IPodOutRequiredCommandsNotSeenCA, Fire an error during the iPodOut test if an iPodOutButtonStatus command was not seen, N/A, 3.0, NO, NO, NO, Error, the required commands were not seen during the iPod Out test
IPodOut, IPodOutSimpleRemoteCommandWithoutiPodOutMode, This rule throws an error if the accessory sends any iPod Out Simple Remote command_ such as iPodOutButtonStatus or RotationInputStatus_ without first entering iPod Out mode via SetUIMode., CurrentMFiFirmwareSpecFileReference (4.2.12), 1.5, NO, NO, NO, Error, accessory sent an iPod Out command without first entering iPod Out mode via SetUIMode
IPodOut, IdenticalRotationInputStatusSpacingLessThan30ms, This rule throws an error if the time between two successive identical RotationInputStatus commands is less  than 30 ms. Note: This rule has a 2 ms tolerance built in due to rdar://problem/6827868, CurrentMFiFirmwareSpecFileReference (4.2.12), 1.5, NO, NO, NO, Error, accessory sent identical RotationInputStatus commands less than 30 ms apart (actual %1$llu ms)
IPodOut, IdenticaliPodOutButtonStatusSpacingLessThan30ms, This rule throws an error if the time between two successive identical iPodOutButtonStatus commands is less  than 30 ms. Note: This rule has a 2 ms tolerance built in due to rdar://problem/6827868, CurrentMFiFirmwareSpecFileReference (4.2.11), 1.5, NO, NO, NO, Error, accessory sent identical iPodOutButtonStatus commands within 30 ms of each other
IPodOut, LineOutPrefNotSetDuringIDPSForiPodOut, This rule throws an error if the accessory does not set its line out preference during IDPS but identified for iPod Out lingo, CurrentMFiFirmwareSpecFileReference (1.12), 2.2, NO, NO, NO, Error, accessory attempted to enter iPod Out mode but did not send an iPodPreferenceToken with its Line Out preference during IDPS
IPodOut, RestrictedCommandWhileIniPodOutMode, Only a subset of SimpleRemote and DisplayRemoteCommands are allowed while in iPodOutMode. This rule will fire an error when a command outside of that subset is sent., CurrentMFiFirmwareSpecFileReference (Table 1-16), 2.0, NO, NO, NO, Error, accessory cannot send %1$@ lingo %2$@ command while in iPod Out mode
IPodOut, RestrictedContextButtonStatusWhileIniPodOutMode, The accessory is only allowed to use a subset of the ContextButtonStatus states while in iPod Out mode_  so this rule will throw an error if the accessory uses a restricted ContextButtonStatus state.  (See section _Supported Simple Remote and Display Remote Commands_ R42_ p.60)., CurrentMFiFirmwareSpecFileReference (Table 1-16), 2.0, NO, NO, NO, Error, accessory sent restricted button state in ContextButtonStatus while in iPod Out mode
IPodOut, RotationInputStatusSpacingGreaterThan100ms, This rule throws an error if the time between two successive RotationInputStatus commands (without an intervening Rotation action completed packet) is greater than 100 ms. Note: This rule has a 2 ms tolerance built in due to rdar://problem/6827868, CurrentMFiFirmwareSpecFileReference (4.2.12), 1.5, NO, NO, NO, Error, more than 100 ms have elapsed since the last RotationInputStatus command without sending another
IPodOut, ScreenInfoTokenDeprecated, This rule throws a warning if the accessory sends the deprecated ScreenInfoToken, CurrentMFiFirmwareSpecFileReference (Table 3-67), 2.2, NO, NO, NO, Warning, ScreenInfoToken is deprecated
